,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
651,Free,4bWlAEbGHhPKQNjhTstN2p,country,https://open.spotify.com/track/4bWlAEbGHhPKQNjhTstN2p,Zac Brown Band,6yJCxee7QumYr820xdIsjo,"['contemporary country', 'country', 'country road', 'modern country rock']",2008-11-17,228653,0,0.453,0.412,1,-7.539,1,0.0276,0.24,0.00021,0.101,0.282,75.752,228653,4
652,Better in Boots,1RLT391KHFFJwbDb7y3eyd,country,https://open.spotify.com/track/1RLT391KHFFJwbDb7y3eyd,Tyler Farr,3vHV92ecrylnUHDM4d2MtC,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']",2015-04-27,176093,51,0.614,0.805,7,-5.34,1,0.0439,0.00445,2.98e-05,0.0604,0.691,80.02,176093,4
653,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,country,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde,Luke Combs,718COspgdWOnwOFpJHRZHS,['contemporary country'],2018-06-01,193200,79,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,193200,4
654,Where I'm From,0VeI4Zyirc6yuJ4P7fudjE,country,https://open.spotify.com/track/0VeI4Zyirc6yuJ4P7fudjE,Jason Michael Carroll,6vgqbvuLEUcrg7SB1kRTYE,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",2009-04-28,276480,49,0.532,0.815,8,-5.834,1,0.0392,0.0301,0.0,0.0721,0.546,149.728,276480,4
655,Sunrise,0KefTgKt7yjGkKPyO7yryV,country,https://open.spotify.com/track/0KefTgKt7yjGkKPyO7yryV,Ryan Bingham,31z9f9AyPawiq0qlBO1M3i,"['indie folk', 'new americana', 'outlaw country', 'roots rock', 'texas country']",2007-01-01,285826,56,0.391,0.681,4,-7.231,1,0.0328,0.244,0.000108,0.586,0.255,137.567,285827,4
656,American Country Love Song,0O1x2tRm8ZpfDbcpOWZp7z,country,https://open.spotify.com/track/0O1x2tRm8ZpfDbcpOWZp7z,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,"['contemporary country', 'country', 'country road', 'modern country rock']",2016-07-29,199746,63,0.529,0.891,8,-4.36,1,0.043,0.0457,0.0,0.0942,0.329,104.031,199747,4
657,Whatever It Is,4o8STNAL91xc7EvuvqSKk1,country,https://open.spotify.com/track/4o8STNAL91xc7EvuvqSKk1,Zac Brown Band,6yJCxee7QumYr820xdIsjo,"['contemporary country', 'country', 'country road', 'modern country rock']",2008-11-17,208213,0,0.686,0.576,1,-6.632,1,0.0284,0.443,1.7e-05,0.212,0.72,83.971,208213,4
658,She Got the Best of Me,698eQRku24PIYPQPHItKlA,country,https://open.spotify.com/track/698eQRku24PIYPQPHItKlA,Luke Combs,718COspgdWOnwOFpJHRZHS,['contemporary country'],2018-06-01,183160,75,0.533,0.907,11,-3.793,1,0.0406,0.0292,0.0,0.386,0.7,150.99,183160,4
659,Kinda Don't Care,5XQv5uep3VmhEuDWeFwRep,country,https://open.spotify.com/track/5XQv5uep3VmhEuDWeFwRep,Justin Moore,30e8DmahrEamvLbFRPdWmk,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",2016-01-01,261800,57,0.584,0.752,1,-5.674,1,0.0309,0.0974,3.05e-05,0.0544,0.735,150.046,261800,4
660,Backwoods,3mSAhPW73pyeKoquI7E8B3,country,https://open.spotify.com/track/3mSAhPW73pyeKoquI7E8B3,Justin Moore,30e8DmahrEamvLbFRPdWmk,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",2009-01-01,155893,55,0.497,0.932,8,-5.029,1,0.0527,0.0678,2.5e-06,0.116,0.774,157.884,155893,4
661,Shut Up Kenny,6tn2Atd1S4DVoQnls5x4SR,country,https://open.spotify.com/track/6tn2Atd1S4DVoQnls5x4SR,Walker Hayes,7sKxqpSqbIzphAKAhrqvlf,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",2017-12-08,180600,56,0.657,0.625,4,-8.097,1,0.0527,0.492,0.0,0.155,0.504,73.999,180600,4
662,Dang If We Didn't,1yAsD59INP2lOaZTuQect4,country,https://open.spotify.com/track/1yAsD59INP2lOaZTuQect4,The Cadillac Three,1nivFfWu6oXBFDNyVfFU5x,"['contemporary country', 'modern southern rock']",2017-08-25,178160,45,0.624,0.824,2,-4.918,1,0.0396,0.0357,0.0,0.212,0.867,105.028,178160,4
663,The Shake,2KZXnN63ae6G6Cai2NhPkG,country,https://open.spotify.com/track/2KZXnN63ae6G6Cai2NhPkG,Neal McCoy,69Etpls5a2aATUkB6NInTY,"['contemporary country', 'country', 'country road', 'country rock']",1997-10-17,213333,51,0.677,0.892,9,-5.709,1,0.0527,0.0755,6.6e-06,0.202,0.898,145.921,213333,4
664,Yours,6RSNKGdv3nDTHqgw4bdzyF,country,https://open.spotify.com/track/6RSNKGdv3nDTHqgw4bdzyF,Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-13,216960,2,0.555,0.722,11,-6.005,1,0.034,0.119,0.0,0.0861,0.559,134.058,216960,4
665,A Girl Like You,3AsNVBJ7LHsltdu9490ZiS,country,https://open.spotify.com/track/3AsNVBJ7LHsltdu9490ZiS,Easton Corbin,070kGpqtESdDsLb3gdMIyx,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-01-27,217840,57,0.735,0.768,5,-4.481,1,0.0353,0.0197,0.0,0.0643,0.83,104.991,217840,4
666,Farmer's Daughter,5zGqTc1WQUe8XqqdnrpKTV,country,https://open.spotify.com/track/5zGqTc1WQUe8XqqdnrpKTV,Rodney Atkins,2qgvmDsc4jrqbAbjq1HGM2,"['contemporary country', 'country', 'country road', 'modern country rock']",2010-06-29,207040,65,0.612,0.791,6,-3.519,1,0.0291,0.224,0.0,0.112,0.786,133.977,207040,4
667,"Guitars, Cadillacs",3HtCJiLV8GH87AViMtUKhO,country,https://open.spotify.com/track/3HtCJiLV8GH87AViMtUKhO,Dwight Yoakam,2sxmKe3CUrWnx7eoXMhOlW,"['bakersfield sound', 'country', 'country rock']",1986,185239,51,0.581,0.917,9,-3.519,1,0.0746,0.26,0.179,0.141,0.86,171.663,185240,3
668,Blue Ain't Your Color,6ZOPiKQeibCn7fP8dncucL,country,https://open.spotify.com/track/6ZOPiKQeibCn7fP8dncucL,Keith Urban,0u2FHSq3ln94y5Q57xazwf,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",2015-05-06,230600,48,0.69,0.416,7,-7.865,1,0.0335,0.617,1.37e-06,0.102,0.479,82.45,230600,3
669,Hometown,2NqHZYzBWUHbbpDDgdGWJL,country,https://open.spotify.com/track/2NqHZYzBWUHbbpDDgdGWJL,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,"['contemporary country', 'country road']",2016-12-02,204066,52,0.627,0.881,0,-4.575,0,0.0556,0.0636,0.0,0.103,0.593,120.007,204067,4
670,Play It Again,03fT3OHB9KyMtGMt2zwqCT,country,https://open.spotify.com/track/03fT3OHB9KyMtGMt2zwqCT,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,"['contemporary country', 'country', 'country road']",2013-01-01,226866,74,0.506,0.886,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935,226867,4
671,He Stopped Loving Her Today,6qMgx8ys4MNNxypaIvbG0i,country,https://open.spotify.com/track/6qMgx8ys4MNNxypaIvbG0i,George Jones,2OpqcUtj10HHvGG6h9VYC5,"['country', 'country rock', 'honky tonk']",1987-01-01,195333,56,0.43,0.173,8,-18.597,1,0.0321,0.594,0.000111,0.224,0.365,72.103,195333,4
672,A Little More Summertime,3esPcn43N0CytAtcY9V30C,country,https://open.spotify.com/track/3esPcn43N0CytAtcY9V30C,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,"['contemporary country', 'country', 'country road']",2016-09-09,219546,55,0.482,0.823,9,-4.446,1,0.0661,0.0386,3.69e-05,0.0948,0.451,167.665,219547,4
673,Pickup Man,3dSUY34vmIYWJn0M6oZ3BD,country,https://open.spotify.com/track/3dSUY34vmIYWJn0M6oZ3BD,Joe Diffie,3THMgU4KdL7LlO5TEREs2g,"['contemporary country', 'country', 'country road', 'country rock', 'oklahoma country', 'redneck']",2003-03-31,216173,53,0.712,0.723,7,-7.47,1,0.0377,0.426,0.0,0.264,0.867,140.566,216173,4
674,Love Your Love The Most,6HLciiLMPssno4lT4gbObT,country,https://open.spotify.com/track/6HLciiLMPssno4lT4gbObT,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,"['contemporary country', 'country', 'country road']",2009-01-01,170386,24,0.333,0.524,10,-6.788,1,0.0301,0.194,0.0,0.124,0.438,73.393,170387,4
675,Famous,2HGymMoOdB4ZYv0AAqYmgF,country,https://open.spotify.com/track/2HGymMoOdB4ZYv0AAqYmgF,Mason Ramsey,6xvpfMjWTougrRRtK7iikz,"['contemporary country', 'country']",2018-04-27,192520,44,0.534,0.815,5,-2.815,1,0.0278,0.708,0.0,0.111,0.564,159.848,192520,4
676,Southern Land,2bX3Cb6QE8OetYBwJKnd0o,country,https://open.spotify.com/track/2bX3Cb6QE8OetYBwJKnd0o,"['Taylor Ray Holbrook', 'Upchurch']","['58nB2Z6IiDdTUTwHYw56xI', '2pSObt5Fk8izuX8ZfI3jRn']","[['contemporary country', 'redneck'], ['contemporary country', 'country rap', 'redneck']]",2016-05-06,222093,65,0.725,0.724,1,-6.195,1,0.126,0.176,0.0,0.136,0.741,130.045,222094,4
